id,source_id,title,profiles,na_profiles,risk_level,severity_label,description,audit_method,evidence_required,evidence_files,script_path,recommendation
DBM-001,1,취약하게 설정된 비밀번호 제거,cloud_dbms|oracle|mssql|mysql|postgresql|altibase|tibero,,4,HIGH,"기본 비밀번호, 계정명과 동일한 비밀번호, 취약한 초기 비밀번호 사용 여부를 점검한다.",evidence_file,True,users.txt|password_policy.txt,shell_script/dbms/{profile}/DBM-001.sh,"기본 비밀번호, 초기 비밀번호, 계정명과 동일한 비밀번호, 취약 비밀번호 사용 여부를 확인하고 제거한다."
DBM-002,2,불필요하거나 관리되지 않는 계정 제거,cloud_dbms|oracle|mssql|mysql|postgresql|altibase|tibero,,4,HIGH,미사용·불필요·퇴사자·테스트 계정이 활성 상태로 존재하는지 점검한다.,evidence_file,True,users.txt|admin_users.txt,shell_script/dbms/{profile}/DBM-002.sh,"미사용·휴면·테스트·게스트 계정은 잠금 처리 또는 삭제하고, 정기적으로 계정 목록을 검토한다."
DBM-003,3,불필요한 관리자 계정 제거,cloud_dbms|oracle|mssql|mysql|postgresql|altibase|tibero,,4,HIGH,"DBA, SYSDBA, sysadmin 등 관리자 권한을 가진 계정이 최소화되어 있는지 점검한다.",evidence_file,True,admin_users.txt|roles.txt,shell_script/dbms/{profile}/DBM-003.sh,"관리자 권한은 최소 인원에게만 부여하고, 불필요한 관리자 계정은 제거하거나 권한을 회수한다."
DBM-004,4,데이터베이스 내 중요정보 안전한 암호화 적용 여부,cloud_dbms|oracle|mssql|mysql|postgresql|altibase|tibero,,4,HIGH,"개인정보, 금융정보 등 중요정보가 암호화되어 저장되는지 점검한다.",evidence_file,True,encryption_status.txt|object_list.txt,shell_script/dbms/{profile}/DBM-004.sh,"TDE, 컬럼 암호화, 테이블스페이스 암호화 등을 적용하여 중요정보를 보호한다."
DBM-005,5,로그인 실패 횟수에 따른 접속 제한 설정,cloud_dbms|oracle|mssql|mysql|postgresql|altibase|tibero,,4,HIGH,일정 횟수 이상 로그인 실패 시 계정이 잠기는지 점검한다.,evidence_file,True,failed_login_policy.txt|password_policy.txt,shell_script/dbms/{profile}/DBM-005.sh,5회 이하 로그인 실패 시 계정 잠금 정책을 적용한다.
DBM-006,6,비밀번호 복잡도 설정,cloud_dbms|oracle|mssql|mysql|postgresql|altibase|tibero,,4,HIGH,"비밀번호 복잡도(영문+숫자+특수문자, 최소 길이 등)가 설정되어 있는지 점검한다.",evidence_file,True,password_policy.txt,shell_script/dbms/{profile}/DBM-006.sh,"영문 대소문자, 숫자, 특수문자 조합, 최소 8자 이상의 복잡도 정책을 적용한다."
DBM-007,7,비밀번호 변경 주기 충족 여부,cloud_dbms|oracle|mssql|mysql|postgresql|altibase|tibero,,3,MEDIUM,비밀번호 변경 주기(최대 사용 기간)가 설정되고 준수되는지 점검한다.,evidence_file,True,password_policy.txt|password_lifetime.txt,shell_script/dbms/{profile}/DBM-007.sh,"비밀번호 최대 사용 기간(예: 90일)을 설정하고, 만료 시 변경을 강제한다."
DBM-008,8,사용되지 않는 세션 종료 여부,cloud_dbms|oracle|mssql|mysql|postgresql|altibase|tibero,,3,MEDIUM,일정 시간 동안 활동이 없는 세션이 자동 종료되는지 점검한다.,evidence_file,True,session_timeout.txt,shell_script/dbms/{profile}/DBM-008.sh,idle session timeout을 설정하여 미사용 세션을 자동 종료한다.
DBM-009,9,감사 로그 수집 및 백업 여부,cloud_dbms|oracle|mssql|mysql|postgresql|altibase|tibero,,4,HIGH,감사 로그가 수집되고 백업 또는 보관되고 있는지 점검한다.,evidence_file,True,audit_config.txt|audit_backup.txt,shell_script/dbms/{profile}/DBM-009.sh,"DB 감사 로그를 활성화하고, 보관 주기(최소 1년 이상)를 설정하여 백업한다."
DBM-010,10,Listener Control Utility(lsnrctl) 보안 설정 여부,oracle|tibero,cloud_dbms|mssql|mysql|postgresql|altibase,3,MEDIUM,Oracle/Tibero Listener에 대한 비밀번호 설정 및 원격 관리 제한 여부를 점검한다.,evidence_file,True,listener_config.txt,shell_script/dbms/{profile}/DBM-010.sh,"lsnrctl에 비밀번호를 설정하고, 원격 관리 기능을 비활성화한다."
